step,time_ms,target_x_mm,target_y_mm,theta_A_deg,theta_B_deg,motor_A_shaft_deg,motor_B_shaft_deg,motor_A_shaft_deg_x100,motor_B_shaft_deg_x100
149,745.0,-59.98684100849073,-199.37172740349928,-140.03837726125883,-62.2812042096037,-1120.3070180900706,-498.2496336768296,-112030,-49824
150,750.0,-60.0,-200.0,-139.8503952849947,-62.48650416344261,-1118.8031622799576,-499.8920333075409,-111880,-49989
151,755.0,-59.98684100849073,-200.6282725965007,-139.65402634730648,-62.68101002028239,-1117.2322107784519,-501.44808016225915,-111723,-50144
152,760.0,-59.9473698059315,-201.25626961187598,-139.44941706021993,-62.864692373688314,-1115.5953364817594,-502.9175389895065,-111559,-50291
153,765.0,-59.88160370569629,-201.8837155858794,-139.23671394662824,-63.0375258078009,-1113.893711573026,-504.3002064624072,-111389,-50430
154,770.0,-59.789571554970266,-202.51033529996946,-139.016063327347,-63.1994889288945,-1112.128506618776,-505.595911431156,-111212,-50559
155,775.0,-59.6713137220964,-203.1358538980296,-138.78761121979244,-63.35056440031004,-1110.3008897583395,-506.80451520248033,-111030,-50680
156,780.0,-59.526882078868674,-203.75999700692913,-138.55150324789534,-63.49073898014466,-1108.4120259831627,-507.9259118411573,-110841,-50792
157,785.0,-59.3563399777793,-204.38249085687235,-138.30788456284876,-63.62000356107261,-1106.46307650279,-508.96002848858086,-110646,-50896
158,790.0,-59.15976222423029,-205.00306240148308,-138.0568997742774,-63.738353211663984,-1104.4551981942193,-509.9068256933119,-110445,-50990
159,795.0,-58.937235043721316,-205.62143943757175,-137.79869289140603,-63.84578721856487,-1102.3895431312483,-510.766297748519,-110238,-51076
160,800.0,-58.68885604402834,-206.23735072453277,-137.5334072738001,-63.94230912890157,-1100.2672581904008,-511.53847303121256,-110026,-51153
161,805.0,-58.414734172389615,-206.85052610331965,-137.26118559124498,-64.02792679227352,-1098.0894847299598,-512.2234143381881,-109808,-51222
162,810.0,-58.11498966771787,-207.46069661494565,-136.9821697923311,-64.10265240170618,-1095.8573583386487,-512.8212192136494,-109585,-51282
163,815.0,-57.78975400785949,-208.06759461845797,-136.6965010813078,-64.16650253294296,-1093.5720086504623,-513.3320202635437,-109357,-51333
164,820.0,-57.43916985192405,-208.67095390833413,-136.4043199027731,-64.21949818146807,-1091.2345592221848,-513.7559854517446,-109123,-51375
165,825.0,-57.063390977709226,-209.2705098312484,-136.10576593376717,-64.261664796668,-1088.8461274701374,-514.093318373344,-108884,-51409
166,830.0,-56.66258221424885,-209.8659994021575,-135.80097808284145,-64.29303231255746,-1086.4078246627316,-514.3442585004597,-108640,-51434
167,835.0,-56.236919369513494,-210.45716141965445,-135.49009449568084,-64.31363517451878,-1083.9207559654467,-514.5090813961502,-108392,-51450
168,840.0,-55.78658915329509,-211.04373658054033,-135.1732525668612,-64.3235123615289,-1081.3860205348897,-514.5880988922312,-108138,-51458
169,845.0,-55.31178909531003,-211.6254675935631,-134.85058895733303,-64.32270740337641,-1078.8047116586642,-514.5816592270113,-107880,-51458
170,850.0,-54.812727458556054,-212.202099292274,-134.52223961722845,-64.31126839240385,-1076.1779169378276,-514.4901471392308,-107617,-51449
171,855.0,-54.289623147961166,-212.77337874695218,-134.18833981359765,-64.28924798934347,-1073.5067185087812,-514.3139839147477,-107350,-51431
172,860.0,-53.74270561436478,-213.33905537554782,-133.84902416269165,-64.25670342285412,-1070.7921933015332,-514.0536273828329,-107079,-51405
173,865.0,-53.17221475387289,-213.89888105359583,-133.5044266664148,-64.21369648240388,-1068.0354133313183,-513.709571859231,-106803,-51370
174,870.0,-52.57840080263182,-214.45261022305144,-133.15468075258445,-64.16029350418786,-1065.2374460206756,-513.2823480335029,-106523,-51328
175,875.0,-51.96152422706633,-215.0,-132.79991931864342,-64.09656534981161,-1062.3993545491473,-512.7725227984929,-106239,-51277
176,880.0,-51.321855609630425,-215.5408102811939,-132.44027477848257,-64.02258737751804,-1059.5221982278606,-512.1806990201443,-105952,-51218
177,885.0,-50.6596755301209,-216.0748038493699,-132.07587911204314,-63.93843940578084,-1056.6070328963451,-511.5075152462467,-105660,-51150
178,890.0,-49.97527444260596,-216.60174647730034,-131.70686391737794,-63.84420566913589,-1053.6549113390236,-510.7536453530871,-105365,-51075
179,895.0,-49.26895254802225,-217.12140703053294,-131.3333604648646,-63.73997476616872,-1050.6668837189168,-509.9197981293498,-105066,-50991
180,900.0,-48.54101966249685,-217.6335575687742,-130.95549975327364,-63.62583959962585,-1047.6439980261891,-509.0067167970068,-104764,-50900
181,905.0,-47.79179508145178,-218.13797344587124,-130.57341256740742,-63.50189730866394,-1044.5873005392593,-508.01517846931154,-104458,-50801
182,910.0,-47.021607439550394,-218.6344334083493,-130.18722953703613,-63.368249193298844,-1041.497836296289,-506.94599354639075,-104149,-50694
183,915.0,-46.23079456654735,-219.1227196924607,-129.79708119687,-63.22500063116258,-1038.37664957496,-505.80000504930064,-103837,-50580
184,920.0,-45.4197033391054,-219.60261811970315,-129.40309804731714,-63.07226098672069,-1035.2247843785372,-504.57808789376554,-103522,-50457
185,925.0,-44.58868952864367,-220.07391819076574,-129.00541061578747,-62.910143513145705,-1032.0432849262997,-503.28114810516564,-103204,-50328
186,930.0,-43.73811764528471,-220.53641317786065,-128.60414951831464,-62.73876524708397,-1028.8331961465171,-501.91012197667175,-102883,-50191
187,935.0,-42.8683607779682,-220.98990021540095,-128.1994455212776,-62.55824689659054,-1025.5955641702208,-500.4659751727243,-102559,-50046
188,940.0,-41.979800430801916,-221.4341803889841,-127.79142960301337,-62.36871272254448,-1022.331436824107,-498.94970178035584,-102233,-49894
189,945.0,-41.07282635572132,-221.86905882264236,-127.38023301512261,-62.17029041388912,-1019.0418641209809,-497.36232331111296,-101904,-49736
190,950.0,-40.14783638153149,-222.29434476432183,-126.96598734327861,-61.96311095707262,-1015.7278987462289,-495.704887656581,-101572,-49570
191,955.0,-39.20523623940633,-222.70985166955268,-126.54882456735767,-61.747308500091634,-1012.3905965388614,-493.9784680007331,-101239,-49397
192,960.0,-38.24543938492137,-223.1153972832737,-126.12887712071895,-61.5230202115635,-1009.0310169657516,-492.184161692508,-100903,-49218
193,965.0,-37.26886681669863,-223.5108037197752,-125.70627794846757,-61.29038613527515,-1005.6502235877406,-490.3230890822012,-100565,-49032
194,970.0,-36.27594689174252,-223.89589754072588,-125.28116056454196,-61.049549040671536,-1002.2492845163357,-488.3963923253723,-100224,-48839
195,975.0,-35.267115137548394,-224.27050983124843,-124.85365910747386,-60.80065426976208,-998.8292728597909,-486.4052341580966,-99882,-48640
196,980.0,-34.24281406106593,-224.63447627401112,-124.4239083946733,-60.543849580933035,-995.3912671573864,-484.3507966474643,-99539,-48435
197,985.0,-33.20349295460065,-224.98763722130298,-123.99204397509719,-60.27928499016087,-991.9363518007775,-482.23427992128694,-99193,-48223
198,990.0,-32.14960769873978,-225.32983776506046,-123.55820218016477,-60.00711261012631,-988.4656174413182,-480.0569008810105,-98846,-48005
199,995.0,-31.08162056238782,-225.6609278048152,-123.12252017278563,-59.72748648772814,-984.980161382285,-477.81989190182514,-98498,-47781
200,1000.0,-29.999999999999975,-225.98076211353316,-122.68513599437081,-59.440562440495746,-981.4810879549665,-475.52449952396597,-98148,-47552
201,1005.0,-28.905220446102916,-226.2892004013159,-122.2461886096997,-59.14649789239217,-977.9695088775976,-473.17198313913735,-97796,-47317
202,1010.0,-27.797762107191723,-226.58610737693644,-121.80581794951725,-58.84545170949479,-974.446543596138,-470.7636136759583,-97444,-47076
203,1015.0,-26.678110751095645,-226.87135280718238,-121.3641649507378,-58.53758403602838,-970.9133196059024,-468.300672288227,-97091,-46830
204,1020.0,-25.546757493904376,-227.14481157398058,-120.92137159413328,-58.22305613121545,-967.3709727530662,-465.7844490497236,-96737,-46578
205,1025.0,-24.404198584548055,-227.406363729278,-120.47758093938373,-57.90203020739421,-963.8206475150698,-463.2162416591537,-96382,-46321
206,1030.0,-23.250935187126192,-227.655894547655,-120.03293715736825,-57.574669269839134,-960.263497258946,-460.5973541587131,-96026,-46059
207,1035.0,-22.087473161080716,-227.89329457664752,-119.58758555957489,-57.241136958702675,-956.7006844765991,-457.9290956696214,-95670,-45792
208,1040.0,-20.914322839308927,-228.11845968475674,-119.14167262450567,-56.90159739347837,-953.1333809960454,-455.21277914782695,-95313,-45521
209,1045.0,-19.73199880431498,-228.33129110712443,-118.69534602095483,-56.556215020366565,-949.5627681676386,-452.4497201629325,-94956,-45244
210,1050.0,-18.541019662496854,-228.5316954888546,-118.24875462803371,-56.20515446290444,-945.9900370242697,-449.6412357032355,-94599,-44964
211,1055.0,-17.34190781666828,-228.719584925962,-117.80204855181717,-55.84858037620161,-942.4163884145373,-446.7886430096129,-94241,-44678
212,1060.0,-16.13518923691595,-228.89487700392974,-117.35537913848285,-55.486657305101666,-938.8430331078628,-443.8932584408133,-93884,-44389
213,1065.0,-14.921393229891319,-229.05749483385893,-116.90889898381396,-55.119549546569125,-935.2711918705116,-440.956396372553,-93527,-44095
214,1070.0,-13.701052206639348,-229.2073670861948,-116.46276193893374,-54.747421016580375,-931.7020955114699,-437.979368132643,-93170,-43797
215,1075.0,-12.474701449065588,-229.34442802201417,-116.01712311213858,-54.37043512177639,-928.1369848971086,-434.9634809742111,-92813,-43496
216,1080.0,-11.242878875143477,-229.46861752186066,-115.57213886669456,-53.98875463611334,-924.5771109335565,-431.91003708890673,-92457,-43191
217,1085.0,-10.006124802966161,-229.57988111211515,-115.12796681446109,-53.60254158272824,-921.0237345156887,-428.82033266182594,-92102,-42882
218,1090.0,-8.764981713744746,-229.67816998888964,-114.68476580520407,-53.2119571212156,-917.4781264416325,-425.6956569697248,-91747,-42569
219,1095.0,-7.5199940138582235,-229.76344103943433,-114.24269591145993,-52.81716144049195,-913.9415672916795,-422.5372915239356,-91394,-42253
220,1100.0,-6.271707796059202,-229.8356568610482,-113.80191840881228,-52.418313657406195,-910.4153472704983,-419.34650925924956,-91041,-41934
221,1105.0,-5.020670599938947,-229.89478577748514,-113.3625957514416,-52.01557172123513,-906.9007660115328,-416.12457376988107,-90690,-41612
222,1110.0,-3.7674311717587923,-229.94080185284815,-112.92489154281168,-51.60909232418582,-903.3991323424934,-412.8727385934866,-90339,-41287
223,1115.0,-2.5125392237519923,-229.97368490296574,-112.48897050135582,-51.19903081800973,-899.9117640108466,-409.59224654407785,-89991,-40959
224,1120.0,-1.2565451930014038,-229.99342050424536,-112.05499842103012,-50.785541136815944,-896.439987368241,-406.28432909452755,-89643,-40628
225,1125.0,-1.1021821192326178e-14,-230.0,-111.62314212660445,-50.36877572615662,-892.9851370128356,-402.95020580925296,-89298,-40295
226,1130.0,1.2565451930013816,-229.99342050424536,-111.19356942356617,-49.948885478441426,-889.5485553885294,-399.5910838275314,-88954,-39959
227,1135.0,2.51253922375197,-229.97368490296574,-110.76644904251829,-49.52601967472325,-886.1315923401463,-396.208157397786,-88613,-39620
228,1140.0,3.76743117175877,-229.94080185284815,-110.34195057796191,-49.10032593288489,-882.7356046236953,-392.80260746307914,-88273,-39280
229,1145.0,5.020670599938873,-229.89478577748514,-109.92024442136014,-48.671950162240826,-879.3619553708811,-389.3756012979266,-87936,-38937
230,1150.0,6.271707796059232,-229.8356568610482,-109.50150168839387,-48.24103652455795,-876.012013507151,-385.9282921964636,-87601,-38592
231,1155.0,7.519994013858254,-229.76344103943433,-109.08589414033102,-47.807727401484975,-872.6871531226482,-382.4618192118798,-87268,-38246
232,1160.0,8.764981713744673,-229.67816998888964,-108.67359409944497,-47.37216336836932,-869.3887527955598,-378.97730694695457,-86938,-37897
233,1165.0,10.006124802966138,-229.57988111211515,-108.26477435843596,-46.93448317442913,-866.1181948674877,-375.47586539543306,-86611,-37547
234,1170.0,11.242878875143456,-229.46861752186066,-107.85960808382646,-46.49482372923707,-862.8768646706117,-371.95858983389655,-86287,-37195
235,1175.0,12.474701449065565,-229.34442802201417,-107.45826871332252,-46.0533200954615,-859.6661497065802,-368.426560763692,-85966,-36842
236,1180.0,13.701052206639327,-229.2073670861948,-107.06092984715593,-45.610105487802066,-856.4874387772475,-364.88084390241653,-85648,-36488
237,1185.0,14.921393229891244,-229.05749483385893,-106.66776513344732,-45.165311278045046,-853.3421210675785,-361.32249022436037,-85334,-36132
238,1190.0,16.135189236915927,-228.89487700392974,-106.27894814765706,-44.719067006156315,-850.2315851812565,-357.7525360492505,-85023,-35775
239,1195.0,17.341907816668257,-228.719584925962,-105.8946522662199,-44.271500397319215,-847.1572181297591,-354.1720031785537,-84715,-35417
240,1200.0,18.541019662496833,-228.5316954888546,-105.51505053449111,-43.82273738481635,-844.1204042759289,-350.5818990785308,-84412,-35058
241,1205.0,19.731998804315012,-228.33129110712443,-105.14031552916467,-43.372902138646175,-841.1225242333173,-346.9832171091694,-84112,-34698
242,1210.0,20.914322839308905,-228.11845968475674,-104.77061921535943,-42.922117099755944,-838.1649537228755,-343.37693679804755,-83816,-34337
243,1215.0,22.087473161080695,-227.89329457664755,-104.40613279860494,-42.4705030197653,-835.2490623888395,-339.7640241581224,-83524,-33976
244,1220.0,23.250935187126174,-227.655894547655,-104.04702657199815,-42.018179006046964,-832.3762125759852,-336.1454320483757,-83237,-33614
245,1225.0,24.404198584547984,-227.40636372927804,-103.69346975883887,-41.565262572022434,-829.547758070711,-332.52210057617947,-82954,-33252
246,1230.0,25.546757493904355,-227.14481157398058,-103.34563035109474,-41.11186969252474,-826.7650428087579,-328.89495754019794,-82676,-32889
247,1235.0,26.678110751095623,-226.8713528071824,-103.00367494408363,-40.65811486407202,-824.029399552669,-325.26491891257615,-82402,-32526
248,1240.0,27.79776210719171,-226.58610737693644,-102.66776856780403,-40.20411116988911,-821.3421485424323,-321.6328893591129,-82134,-32163
249,1245.0,28.905220446102895,-226.28920040131592,-102.3380745153832,-39.74997034950854,-818.7045961230656,-317.9997627960683,-81870,-31799
250,1250.0,29.99999999999996,-225.98076211353316,-102.01475416915109,-39.29580287277432,-816.1180333532087,-314.36642298219454,-81611,-31436
251,1255.0,31.081620562387844,-225.6609278048152,-101.6979668248873,-38.841718018068285,-813.5837345990984,-310.7337441445463,-81358,-31073
252,1260.0,32.14960769873981,-225.32983776506046,-101.38786951482375,-38.38782395457086,-811.10295611859,-307.1025916365669,-81110,-30710
253,1265.0,33.203492954600634,-224.98763722130298,-101.08461683001802,-37.934227828363824,-808.6769346401442,-303.4738226269106,-80867,-30347
254,1270.0,34.24281406106591,-224.63447627401112,-100.7883607427458,-37.481035852177385,-806.3068859419664,-299.8482868174191,-80630,-29984
255,1275.0,35.26711513754837,-224.27050983124843,-100.49925042958517,-37.02835339857955,-803.9940034366814,-296.2268271886364,-80399,-29622
256,1280.0,36.275946891742464,-223.8958975407259,-100.21743209589133,-36.57628509640014,-801.7394567671306,-292.61028077120113,-80173,-29261
257,1285.0,37.26886681669862,-223.5108037197752,-99.94304880237736,-36.12493493017973,-799.5443904190189,-288.9994794414378,-79954,-28899
258,1290.0,38.245439384921355,-223.1153972832737,-99.67624029453196,-35.67440634242788,-797.4099223562557,-285.39525073942303,-79740,-28539
259,1295.0,39.205236239406325,-222.7098516695527,-99.41714283561343,-35.224802338473516,-795.3371426849075,-281.79841870778813,-79533,-28179
260,1300.0,40.14783638153147,-222.29434476432183,-99.16588904396193,-34.776225593686824,-793.3271123516954,-278.2098047494946,-79332,-27820
261,1305.0,41.072826355721276,-221.86905882264236,-98.92260773536931,-34.3287785628486,-791.3808618829545,-274.6302285027888,-79138,-27463
262,1310.0,41.979800430801944,-221.4341803889841,-98.68742377123685,-33.88256359144207,-789.4993901698948,-271.0605087315366,-78949,-27106
263,1315.0,42.8683607779682,-220.98990021540095,-98.46045791323482,-33.437683028639356,-787.6836633058786,-267.50146422911484,-78768,-26750
264,1320.0,43.738117645284674,-220.53641317786068,-98.24182668515654,-32.99423934175327,-785.9346134812523,-263.95391473402617,-78593,-26395
265,1325.0,44.588689528643656,-220.07391819076574,-98.03164224262987,-32.55233523192422,-784.253137941039,-260.41868185539374,-78425,-26041
266,1330.0,45.41970333910537,-219.60261811970318,-97.83001225131558,-32.11207375081076,-782.6400980105246,-256.89659000648606,-78264,-25689
267,1335.0,46.23079456654736,-219.1227196924607,-97.63703977417839,-31.673558418050778,-781.0963181934271,-253.38846734440622,-78109,-25338
268,1340.0,47.02160743955038,-218.6344334083493,-97.45282316837212,-31.236893339261492,-779.622585346977,-249.89514671409194,-77962,-24989
269,1345.0,47.79179508145175,-218.13797344587127,-97.27745599222462,-30.802183324343467,-778.2196479377969,-246.41746659474774,-77821,-24641
270,1350.0,48.54101966249684,-217.6335575687742,-97.11102692275337,-30.369534005856238,-776.8882153820269,-242.9562720468499,-77688,-24295
271,1355.0,49.26895254802222,-217.12140703053296,-96.95361968407732,-29.93905195723066,-775.6289574726186,-239.51241565784528,-77562,-23951
272,1360.0,49.975274442605965,-216.60174647730034,-96.80531298702648,-29.510844810583954,-774.4425038962119,-236.08675848467163,-77444,-23608
273,1365.0,50.659675530120914,-216.07480384936989,-96.66618048018047,-29.085021373903086,-773.3294438414438,-232.68017099122468,-77332,-23268
274,1370.0,51.3218556096304,-215.5408102811939,-96.53629071249429,-28.661691747361317,-772.2903256999543,-229.29353397889054,-77229,-22929
275,1375.0,51.96152422706633,-215.0,-96.4157071075982,-28.240967438532493,-771.3256568607856,-225.92773950825995,-77132,-22592
276,1380.0,52.57840080263181,-214.45261022305147,-96.3044879497812,-27.822961476266606,-770.4359035982496,-222.58369181013285,-77043,-22258
277,1385.0,53.17221475387287,-213.89888105359586,-96.20268638159527,-27.407788522989488,-769.6214910527622,-219.2623081839159,-76962,-21926
278,1390.0,53.74270561436477,-213.33905537554782,-96.11035041294144,-26.99556498518752,-768.8828033035315,-215.96451988150017,-76888,-21596
279,1395.0,54.28962314796116,-212.77337874695218,-96.02752294142871,-26.586409121836343,-768.2201835314297,-212.69127297469075,-76822,-21269
280,1400.0,54.81272745855603,-212.20209929227403,-95.95424178372335,-26.180441150530456,-767.6339342697868,-209.44352920424365,-76763,-20944
281,1405.0,55.311789095310026,-211.6254675935631,-95.89053971754257,-25.77778335106715,-767.1243177403405,-206.2222668085372,-76712,-20622
282,1410.0,55.78658915329507,-211.04373658054035,-95.83644453387913,-25.37856016623483,-766.691556271033,-203.02848132987864,-76669,-20302
283,1415.0,56.23691936951349,-210.45716141965445,-95.79197909898731,-24.982898299550467,-766.3358327918985,-199.86318639640373,-76633,-19986
284,1420.0,56.662582214248864,-209.86599940215748,-95.75716142560383,-24.590926809686838,-766.0572914048306,-196.7274144774947,-76605,-19672
285,1425.0,57.06339097770921,-209.27050983124843,-95.73200475282856,-24.202777201322828,-765.8560380226285,-193.62221761058262,-76585,-19362
286,1430.0,57.43916985192404,-208.67095390833413,-95.71651763404635,-23.818583512143505,-765.7321410723708,-190.54866809714804,-76573,-19054
287,1435.0,57.789754007859486,-208.06759461845797,-95.71070403223243,-23.438482395708654,-765.6856322578594,-187.50785916566923,-76568,-18750
288,1440.0,58.11498966771786,-207.46069661494565,-95.71456342195172,-23.062613199898127,-765.7165073756138,-184.50090559918502,-76571,-18450
289,1445.0,58.414734172389615,-206.85052610331968,-95.72809089733747,-22.69111804063352,-765.8247271786997,-181.52894432506815,-76582,-18152
290,1450.0,58.688856044028334,-206.2373507245328,-95.75127728531285,-22.324141870563032,-766.0102182825028,-178.59313496450426,-76601,-17859
291,1455.0,58.93723504372132,-205.62143943757175,-95.78410926330638,-21.961832542383505,-766.272874106451,-175.69466033906804,-76627,-17569
292,1460.0,59.15976222423029,-205.00306240148308,-95.82656948070363,-21.604340866461108,-766.612555845629,-172.83472693168886,-76661,-17283
293,1465.0,59.35633997777929,-204.38249085687238,-95.87863668327464,-21.25182066239484,-767.0290934661971,-170.01456529915873,-76702,-17001
294,1470.0,59.526882078868674,-203.75999700692913,-95.94028583981964,-20.904428804152527,-767.5222867185571,-167.23543043322022,-76752,-16723
295,1475.0,59.6713137220964,-203.1358538980296,-96.0114882702834,-20.562325258390743,-768.0919061622672,-164.49860206712594,-76809,-16449
296,1480.0,59.78957155497026,-202.51033529996948,-96.0922117746002,-20.225673115550595,-768.7376941968016,-161.80538492440476,-76873,-16180
297,1485.0,59.88160370569629,-201.8837155858794,-96.18242076154903,-19.89463861330288,-769.4593660923922,-159.15710890642305,-76945,-15915
298,1490.0,59.9473698059315,-201.256269611876,-96.28207637691756,-19.569391151894866,-770.2566110153405,-156.55512921515893,-77025,-15655
299,1495.0,59.98684100849073,-200.6282725965007,-96.3911366302984,-19.250103300928075,-771.1290930423872,-154.0008264074246,-77112,-15400
